3.95,0.50152,-0.31811,-0.47401
3.96,0.42732,-0.27496,-0.51852
3.97,0.34974,-0.2344,-0.55884
3.98,0.26955,-0.19681,-0.59467
3.99,0.18746,-0.16252,-0.62581
4,0.10423,-0.13181,-0.65209
4.01,0.020569,-0.10494,-0.67342
4.02,-0.062817,-0.082074,-0.68978
4.03,-0.14525,-0.063361,-0.70121
4.04,-0.2261,-0.04888,-0.70782
4.05,-0.30476,-0.03866,-0.70979
4.06,-0.38067,-0.03268,-0.70736
4.07,-0.45333,-0.030866,-0.70082
4.08,-0.52229,-0.033096,-0.69054
4.09,-0.58714,-0.039202,-0.67691
4.1,-0.64756,-0.048973,-0.66037
4.11,-0.70327,-0.062158,-0.64142
4.12,-0.75404,-0.078471,-0.62056
4.13,-0.79972,-0.097593,-0.59832
4.14,-0.8402,-0.11918,-0.57524
4.15,-0.87545,-0.14287,-0.55187
4.16,-0.90547,-0.16826,-0.52874
4.17,-0.93032,-0.19498,-0.50638
4.18,-0.95011,-0.22261,-0.4853
4.19,-0.96498,-0.25074,-0.46595
4.2,-0.97513,-0.27897,-0.44878
4.21,-0.98077,-0.30691,-0.43416
4.22,-0.98215,-0.33416,-0.42241
4.23,-0.97954,-0.36035,-0.41382
4.24,-0.97322,-0.38513,-0.40859
4.25,-0.96349,-0.40817,-0.40686
4.26,-0.95066,-0.42917,-0.40869
4.27,-0.93503,-0.44784,-0.41408
4.28,-0.9169,-0.46393,-0.42294
4.29,-0.89656,-0.47722,-0.43514
4.3,-0.8743,-0.48754,-0.45044
